Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
900.00	154.05	12.839	0.077888	18.503	30.501	162.77	25.033	34.302	965.15	-0.76776	50.711	0.088241	supercritical
900.00	155.05	12.891	0.077571	18.500	30.528	162.72	25.040	34.308	967.24	-0.76791	50.800	0.088427	supercritical
900.00	156.05	12.943	0.077259	18.498	30.554	162.66	25.046	34.314	969.34	-0.76806	50.890	0.088613	supercritical
900.00	157.05	12.995	0.076950	18.495	30.580	162.60	25.053	34.320	971.42	-0.76821	50.979	0.088800	supercritical
900.00	158.05	13.047	0.076645	18.493	30.607	162.55	25.060	34.325	973.51	-0.76834	51.069	0.088986	supercritical
900.00	159.05	13.099	0.076344	18.491	30.633	162.49	25.067	34.331	975.59	-0.76847	51.159	0.089172	supercritical
900.00	160.05	13.150	0.076046	18.488	30.660	162.44	25.074	34.337	977.67	-0.76860	51.249	0.089358	supercritical
900.00	161.05	13.201	0.075752	18.486	30.686	162.38	25.081	34.342	979.74	-0.76872	51.338	0.089544	supercritical
900.00	162.05	13.252	0.075462	18.484	30.712	162.33	25.088	34.348	981.81	-0.76883	51.428	0.089730	supercritical
900.00	163.05	13.302	0.075175	18.482	30.739	162.27	25.095	34.354	983.87	-0.76894	51.518	0.089917	supercritical
900.00	164.05	13.353	0.074891	18.479	30.765	162.22	25.101	34.359	985.93	-0.76904	51.608	0.090103	supercritical
900.00	165.05	13.403	0.074611	18.477	30.792	162.17	25.108	34.365	987.99	-0.76914	51.699	0.090289	supercritical
900.00	166.05	13.453	0.074334	18.475	30.818	162.11	25.115	34.370	990.04	-0.76923	51.789	0.090475	supercritical
900.00	167.05	13.503	0.074060	18.473	30.845	162.06	25.122	34.376	992.09	-0.76932	51.879	0.090661	supercritical
900.00	168.05	13.552	0.073790	18.471	30.871	162.01	25.128	34.381	994.14	-0.76940	51.969	0.090847	supercritical
900.00	169.05	13.601	0.073522	18.469	30.897	161.95	25.135	34.387	996.18	-0.76948	52.060	0.091034	supercritical
900.00	170.05	13.650	0.073258	18.466	30.924	161.90	25.142	34.392	998.21	-0.76955	52.150	0.091220	supercritical
900.00	171.05	13.699	0.072996	18.464	30.950	161.85	25.149	34.397	1000.2	-0.76962	52.240	0.091406	supercritical
900.00	172.05	13.748	0.072737	18.462	30.977	161.80	25.155	34.403	1002.3	-0.76968	52.331	0.091592	supercritical
900.00	173.05	13.797	0.072482	18.460	31.003	161.75	25.162	34.408	1004.3	-0.76974	52.421	0.091778	supercritical
900.00	174.05	13.845	0.072229	18.458	31.030	161.70	25.169	34.413	1006.3	-0.76979	52.512	0.091964	supercritical
900.00	175.05	13.893	0.071979	18.456	31.056	161.65	25.176	34.418	1008.3	-0.76984	52.603	0.092151	supercritical
900.00	176.05	13.941	0.071732	18.454	31.083	161.59	25.182	34.424	1010.3	-0.76989	52.693	0.092337	supercritical
900.00	177.05	13.989	0.071487	18.453	31.109	161.54	25.189	34.429	1012.4	-0.76993	52.784	0.092523	supercritical
900.00	178.05	14.036	0.071245	18.451	31.136	161.49	25.196	34.434	1014.4	-0.76996	52.875	0.092709	supercritical
900.00	179.05	14.083	0.071006	18.449	31.162	161.45	25.202	34.439	1016.4	-0.76999	52.966	0.092895	supercritical
900.00	180.05	14.131	0.070769	18.447	31.189	161.40	25.209	34.444	1018.4	-0.77002	53.057	0.093082	supercritical
900.00	181.05	14.177	0.070535	18.445	31.215	161.35	25.216	34.449	1020.4	-0.77005	53.148	0.093268	supercritical
900.00	182.05	14.224	0.070303	18.443	31.242	161.30	25.222	34.454	1022.3	-0.77007	53.239	0.093454	supercritical
900.00	183.05	14.271	0.070073	18.442	31.268	161.25	25.229	34.459	1024.3	-0.77008	53.330	0.093640	supercritical
900.00	184.05	14.317	0.069846	18.440	31.295	161.20	25.236	34.464	1026.3	-0.77009	53.421	0.093826	supercritical
900.00	185.05	14.363	0.069622	18.438	31.322	161.15	25.242	34.469	1028.3	-0.77010	53.512	0.094013	supercritical
900.00	186.05	14.409	0.069399	18.436	31.348	161.11	25.249	34.474	1030.3	-0.77011	53.603	0.094199	supercritical
900.00	187.05	14.455	0.069179	18.435	31.375	161.06	25.255	34.479	1032.2	-0.77011	53.694	0.094385	supercritical
900.00	188.05	14.501	0.068962	18.433	31.401	161.01	25.262	34.484	1034.2	-0.77011	53.786	0.094571	supercritical
900.00	189.05	14.546	0.068746	18.431	31.428	160.96	25.268	34.489	1036.2	-0.77010	53.877	0.094757	supercritical
900.00	190.05	14.592	0.068533	18.430	31.454	160.92	25.275	34.493	1038.1	-0.77009	53.968	0.094944	supercritical
900.00	191.05	14.637	0.068321	18.428	31.481	160.87	25.282	34.498	1040.1	-0.77008	54.060	0.095130	supercritical
900.00	192.05	14.682	0.068112	18.426	31.507	160.82	25.288	34.503	1042.0	-0.77006	54.151	0.095316	supercritical
900.00	193.05	14.726	0.067905	18.425	31.534	160.78	25.295	34.508	1044.0	-0.77004	54.243	0.095502	supercritical
900.00	194.05	14.771	0.067700	18.423	31.561	160.73	25.301	34.513	1045.9	-0.77002	54.334	0.095688	supercritical
900.00	195.05	14.815	0.067497	18.422	31.587	160.69	25.308	34.517	1047.9	-0.76999	54.426	0.095875	supercritical
900.00	196.05	14.860	0.067296	18.420	31.614	160.64	25.314	34.522	1049.8	-0.76997	54.518	0.096061	supercritical
900.00	197.05	14.904	0.067097	18.419	31.640	160.60	25.321	34.527	1051.7	-0.76993	54.609	0.096247	supercritical
900.00	198.05	14.948	0.066900	18.417	31.667	160.55	25.327	34.531	1053.7	-0.76990	54.701	0.096433	supercritical
900.00	199.05	14.991	0.066705	18.416	31.694	160.51	25.334	34.536	1055.6	-0.76986	54.793	0.096620	supercritical
900.00	200.05	15.035	0.066511	18.415	31.720	160.46	25.340	34.541	1057.5	-0.76982	54.885	0.096806	supercritical
900.00	201.05	15.078	0.066320	18.413	31.747	160.42	25.347	34.545	1059.4	-0.76978	54.977	0.096992	supercritical
900.00	202.05	15.122	0.066130	18.412	31.773	160.37	25.353	34.550	1061.4	-0.76973	55.069	0.097178	supercritical
900.00	203.05	15.165	0.065942	18.410	31.800	160.33	25.360	34.554	1063.3	-0.76968	55.161	0.097364	supercritical
900.00	204.05	15.208	0.065756	18.409	31.826	160.29	25.366	34.559	1065.2	-0.76963	55.253	0.097551	supercritical
900.00	205.05	15.251	0.065571	18.408	31.853	160.24	25.372	34.563	1067.1	-0.76958	55.345	0.097737	supercritical
900.00	206.05	15.293	0.065389	18.406	31.880	160.20	25.379	34.568	1069.0	-0.76952	55.437	0.097923	supercritical
900.00	207.05	15.336	0.065208	18.405	31.906	160.16	25.385	34.572	1070.9	-0.76946	55.529	0.098109	supercritical
